participant,distance_setting,number_of_objects,trial_number,target_present,ran,order,response_yes,yes_no_correct,hit,false_alarm,rt_sec,rt_where_sec,response_where_x,response_where_y,target_pos_x,target_pos_y,click_distance_deg,distance_shapecomp,background_shape_idx,proto_object_idx,date_str
JT,mid,3,20,False,1.0,19.0,1.0,0.0,0,1,0.41000605,0.41619492,-11.62218223845444,-1.0552109193481654,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,21,True,1.0,20.0,1.0,1.0,1,0,0.39922714,0.663975,-9.00644812852096,-1.0403487937235432,2.421097168346312,5.536283054867628,13.184873,1.0057801008224487,0.0,32.0,2023-06-27_11h44.41.678
JT,mid,3,22,False,1.0,21.0,1.0,0.0,0,1,1.249727,0.44786382,-0.4755880199879055,-8.189031219166749,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,23,True,1.0,22.0,0.0,0.0,0,0,0.42841697,,,,8.506007748910722,4.9572498814558,,0.997423529624939,0.0,0.0,2023-06-27_11h44.41.678
JT,mid,3,24,False,1.0,23.0,1.0,0.0,0,1,0.39692497,0.488302,-5.0382605867468735,2.8981144968012997,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,25,False,1.0,24.0,0.0,1.0,0,0,0.37214303,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,26,False,1.0,25.0,0.0,1.0,0,0,0.49266005,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,27,False,1.0,26.0,1.0,0.0,0,1,0.39123988,0.6559081,6.539335274833701,5.127433340494606,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,28,False,1.0,27.0,0.0,1.0,0,0,0.3818698,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,29,True,1.0,28.0,1.0,1.0,1,0,0.36791587,0.58385706,-2.7049068636812126,-7.04464754607085,-3.629790754293224,-7.202806047510932,0.9383093,0.958284556865692,0.0,28.0,2023-06-27_11h44.41.678
JT,mid,3,30,False,1.0,29.0,1.0,0.0,0,1,0.4013338,0.42421103,8.515997982908432,8.040409962920528,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,31,False,1.0,30.0,0.0,1.0,0,0,0.494138,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,32,False,1.0,31.0,0.0,1.0,0,0,0.33007693,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,33,False,1.0,32.0,0.0,1.0,0,0,0.29984403,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,34,True,1.0,33.0,1.0,1.0,1,0,0.65845084,0.56794906,7.698581073554219,1.1146594218466537,7.548720866421899,0.2272540683808773,0.8999702,1.0125123262405396,0.0,74.0,2023-06-27_11h44.41.678
JT,mid,3,35,True,1.0,34.0,0.0,0.0,0,0,0.83692694,,,,5.40273027307565,-1.5180576364202218,,0.958284556865692,0.0,28.0,2023-06-27_11h44.41.678
JT,mid,3,36,False,1.0,35.0,1.0,0.0,0,1,0.4037888,0.35187197,-6.034023003596551,-3.12104638117063,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,37,True,1.0,36.0,1.0,1.0,1,0,0.98254704,0.36786294,10.596695570355518,0.7728305324803463,-10.374251701309742,-1.9937433187133955,21.152649,0.9998947381973268,0.0,72.0,2023-06-27_11h44.41.678
JT,mid,3,38,False,1.0,37.0,1.0,0.0,0,1,0.220577,0.38358784,10.403487937235433,-2.987287250549031,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,39,True,1.0,38.0,1.0,1.0,1,0,0.43955088,0.488276,5.543572857984024,5.825953244851842,-8.933645993804788,8.163341722903649,14.664694,1.0037909746170044,0.0,63.0,2023-06-27_11h44.41.678
JT,mid,3,40,True,1.0,39.0,1.0,1.0,1,0,0.33366895,0.6562679,6.212368511092016,9.496898274133486,6.302986832658806,10.539857531121411,1.0468886,1.076143741607666,0.0,47.0,2023-06-27_11h44.41.678
JT,mid,3,41,True,1.0,40.0,1.0,1.0,1,0,0.8926561,0.647933,-8.010685711671282,-7.000061169196983,-7.727530353596358,-7.1443429206154505,0.3177958,1.0125123262405396,0.0,74.0,2023-06-27_11h44.41.678
JT,mid,3,42,True,1.0,41.0,1.0,1.0,1,0,0.26381612,0.69576716,-4.324878556765015,3.34397826553996,-4.383307879273381,3.203089182467162,0.15252449,1.011980414390564,0.0,23.0,2023-06-27_11h44.41.678
JT,mid,3,43,False,1.0,42.0,1.0,0.0,0,1,0.82623315,0.36783004,-8.917275374773228,-2.0509733361978424,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,44,True,1.0,43.0,1.0,1.0,1,0,0.84709,0.79230094,1.30786705496674,10.46293643973392,-7.056403585205353,1.3580728897919825,12.363639,1.0092586278915403,0.0,31.0,2023-06-27_11h44.41.678
JT,mid,3,45,True,1.0,44.0,1.0,1.0,1,0,0.921484,0.855917,10.879075957223336,-3.8492905367771098,11.409616784073137,-3.564595015699829,0.60210055,1.006396770477295,0.0,39.0,2023-06-27_11h44.41.678
