,participant,distance_setting,number_of_objects,target_present,response_yes,yes_no_correct,target_pos_x,response_where_x,target_pos_y,response_where_y,hit,false_alarm,distance,angle,distance_delta
8166,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8167,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8168,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8169,RS,mid,8,True,0.0,0.0,-1.8964260296868152,,-11.61509153077037,,0,0,11.768890472523196,-1.7326408487936302,
8170,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8171,RS,mid,8,False,1.0,0.0,,9.184793636016424,,2.5860098586842364,0,1,,,
8172,RS,mid,8,True,1.0,1.0,7.06037212355377,-3.537185898660047,-7.64710460252894,-6.034023003596551,1,0,10.408028791518328,-0.8252705036466443,10.719620715258666
8173,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8174,RS,mid,8,True,0.0,0.0,12.896546361548369,,0.5984989560274582,,0,0,12.9104263700287,0.0463744196638005,
8175,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8176,RS,mid,8,True,0.0,0.0,6.963573872673794,,-2.449908477160375,,0,0,7.381965363414229,-0.33829322406131124,
8177,RS,mid,8,False,1.0,0.0,,3.225081260542984,,5.781366867977976,0,1,,,
8178,RS,mid,8,False,1.0,0.0,,-3.4628752705369363,,-6.212368511092016,0,1,,,
8179,RS,mid,8,True,1.0,1.0,4.277877523315409,3.819566285527866,5.368663767699811,5.409813727362425,1,0,6.864603903729618,0.8979952703435371,0.4601548759522001
8180,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8181,RS,mid,8,True,0.0,0.0,-6.511448570595827,,10.213114583866757,,0,0,12.112252969233522,2.1383748884151936,
8182,RS,mid,8,False,1.0,0.0,,5.677331988605621,,5.558434983608644,0,1,,,
8183,RS,mid,8,True,1.0,1.0,-6.054928948114354,-4.250567928641906,-7.902342784423809,-2.407664351188771,1,0,9.955359664484666,-2.224597344814682,5.783356272377651
8184,RS,mid,8,True,1.0,1.0,4.281627508585233,4.770742325503678,-9.112227521565398,-7.431062812311023,1,0,10.068019891073302,-1.1315360658075557,1.7508706644899592
8185,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8186,RS,mid,8,True,0.0,0.0,-10.580189686918688,,0.5945623472440921,,0,0,10.596882475329288,3.0854558849525975,
8187,RS,mid,8,True,1.0,1.0,11.708913065704436,10.98311083659569,-4.738498409623262,-3.314254014290716,1,0,12.631389961450253,-0.38454427943709324,1.598518368182047
8188,RS,mid,8,True,1.0,1.0,-11.353157879596154,5.112571214869983,3.149418280639998,-3.2696676374168505,1,0,11.781894132331423,2.8709922774932823,17.672716221219204
8189,RS,mid,8,True,0.0,0.0,-2.3796847037691484,,9.26187054448019,,0,0,9.562695502423082,1.8222899048070904,
8190,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8191,RS,mid,8,True,1.0,1.0,3.0918218332544827,2.8535281199274327,-6.614161826574909,-6.123195757344283,1,0,7.30112997533326,-1.1335221553949941,0.5457394753423707
8192,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8193,RS,mid,8,True,0.0,0.0,-0.6978876004279376,,-7.211379046371984,,0,0,7.245069692783083,-1.667271779266055,
8194,RS,mid,8,True,1.0,1.0,-8.24169717228509,-8.293066098539104,-0.416287966751938,-0.5647607737356378,1,0,8.25220382388332,-3.091125561723923,0.15710805516621135
8195,RS,mid,8,False,1.0,0.0,,3.492599521786181,,7.758029576052708,0,1,,,
8196,RS,mid,8,False,1.0,0.0,,9.615795279130465,,4.042498169897196,0,1,,,
8197,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8198,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8199,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8200,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8201,DB,high,4,True,1.0,1.0,-4.687028061431849,-4.250567928641906,-5.06868328447083,-4.919363581749898,1,0,6.903606469587008,-2.3170932207633395,0.4612958065446533
8202,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8203,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8204,DB,high,4,True,1.0,1.0,3.389657533703544,3.41828889366307,-6.991388388399916,-6.777129284827653,1,0,7.769767679489933,-1.1193555728384796,0.21616363763760468
8205,DB,high,4,True,1.0,1.0,0.7755537930785212,0.8768654118527007,8.921946622873271,7.891788706674307,1,0,8.955591282956043,1.4840877623867164,1.0351277101913745
8206,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8207,DB,high,4,True,1.0,1.0,-4.448397809527748,-7.341890058563291,-4.971941275667518,-0.624209276234126,1,0,6.671464840685111,-2.3006757408848593,5.222554062345918
8208,DB,high,4,True,1.0,1.0,-5.171657029675111,7.980961460422039,-0.290777285845885,7.19326880231707,1,0,5.179825080304536,-3.085426621001756,15.132822572005287
